INSERT Address (Street, City, ZIP, Country) VALUES ('Cowley 9','Taylorville',240939,'Czech Republic');
INSERT Address (Street, City, ZIP, Country) VALUES ('New 38','Gerald',871565,'Central African Rep');
INSERT Address (Street, City, ZIP, Country) VALUES ('Fabien 33','Hot Springs',895656,'Romania');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue Hague 8','Hoover',422663,'Kenya');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Blue Oak 52','Hyrum',830234,'Myanmar');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red Milton 51','Norborne',498361,'Burkina');
INSERT Address (Street, City, ZIP, Country) VALUES ('Cowley 3','Stinnett',307612,'Guinea-Bissau');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Milton 33','Geuda Springs',569668,'United Kingdom');
INSERT Address (Street, City, ZIP, Country) VALUES ('Fabien 36','Albers',281150,'Spain');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green Milton 57','Windsor Locks',916956,'Mauritania');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red Second 9','Cusson',280229,'Dominica');
INSERT Address (Street, City, ZIP, Country) VALUES ('Oak 50','La Verne',470343,'Somalia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red Milton 13','Glenbar',866156,'Pakistan');
INSERT Address (Street, City, ZIP, Country) VALUES ('Old 47','Walnut Shade',567184,'Sierra Leone');
INSERT Address (Street, City, ZIP, Country) VALUES ('Milton 80','Millican',427534,'Tanzania');
INSERT Address (Street, City, ZIP, Country) VALUES ('Hague 91','Bandera',990659,'Finland');
INSERT Address (Street, City, ZIP, Country) VALUES ('Clarendon 16','Imboden',281410,'Maldives');
INSERT Address (Street, City, ZIP, Country) VALUES ('Fabien 12','Saint Martins',370908,'Oman');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Hague 88','Pawcatuck',385974,'Lithuania');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Green Second 32','Callahan',263489,'Panama');
INSERT Address (Street, City, ZIP, Country) VALUES ('Second 95','Vamo',663310,'Luxembourg');
INSERT Address (Street, City, ZIP, Country) VALUES ('Cowley 49','Apollo',159588,'Libya');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue Second 41','Rouses Point',802209,'Yemen');
INSERT Address (Street, City, ZIP, Country) VALUES ('Cowley 53','Brownstown',394756,'Taiwan');
INSERT Address (Street, City, ZIP, Country) VALUES ('Hague 93','Burkeville',631071,'Congo');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green Old 95','Altair',290148,'Pakistan');
INSERT Address (Street, City, ZIP, Country) VALUES ('Old 25','Gardendale',264707,'Uganda');
INSERT Address (Street, City, ZIP, Country) VALUES ('New 39','Benndale',254341,'Cambodia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue Nobel 24','Coral Hills',386884,'Guinea');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Fabien 81','Hubbardston',120560,'Botswana');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Hague 39','Otsego Lake',820663,'France');
INSERT Address (Street, City, ZIP, Country) VALUES ('Hague 48','Lorman',165185,'Albania');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Green Fabien 4','Gold Acres',479191,'Hungary');
INSERT Address (Street, City, ZIP, Country) VALUES ('North New 35','Haughton',457621,'Thailand');
INSERT Address (Street, City, ZIP, Country) VALUES ('Fabien 19','Stephan',702025,'Israel');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Red Second 34','Rock',773435,'Suriname');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Nobel 76','Amidon',546690,'Venezuela');
INSERT Address (Street, City, ZIP, Country) VALUES ('Hague 51','Guaynabo',990467,'Tanzania');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red Nobel 17','Zearing',660361,'Ivory Coast');
INSERT Address (Street, City, ZIP, Country) VALUES ('Clarendon 94','Arroyo Hondo',476860,'Algeria');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Green Hague 27','Little Rapids',417427,'East Timor');
INSERT Address (Street, City, ZIP, Country) VALUES ('Old 94','Orange',718957,'Bahamas');
INSERT Address (Street, City, ZIP, Country) VALUES ('White Nobel 83','Four Corners',117503,'Gabon');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 96','Letart Falls',672715,'Panama');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red First 46','Holdrege',968199,'Paraguay');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Nobel 44','Gibsonburg',248143,'Mali');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Fabien 73','Bryce Canyon',125768,'United Arab Emirates');
INSERT Address (Street, City, ZIP, Country) VALUES ('Fabien 26','Raceland',622486,'Jordan');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Fabien 16','Inlet',372820,'Ukraine');
INSERT Address (Street, City, ZIP, Country) VALUES ('Nobel 74','Rowlesburg',916532,'Lebanon');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green Clarendon 8','Hasse',821608,'Congo');
INSERT Address (Street, City, ZIP, Country) VALUES ('St White Cowley 37','Seymourville',251714,'Colombia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Fabien 93','Panama City Beach',206872,'Indonesia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red Clarendon 25','Sierra City',868963,'France');
INSERT Address (Street, City, ZIP, Country) VALUES ('West New 78','Wallingford',185962,'Sao Tome & Principe');
INSERT Address (Street, City, ZIP, Country) VALUES ('Second 53','Sherburn',688534,'Sudan');
INSERT Address (Street, City, ZIP, Country) VALUES ('Cowley 1','Livingston',149369,'Egypt');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Nobel 9','Bowlegs',733464,'Sao Tome & Principe');
INSERT Address (Street, City, ZIP, Country) VALUES ('New 81','Cedar Bluffs',365680,'Djibouti');
INSERT Address (Street, City, ZIP, Country) VALUES ('South New 93','Post Creek',518008,'Trinidad & Tobago');
INSERT Address (Street, City, ZIP, Country) VALUES ('White Old 54','Early Branch',349564,'Dominica');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Blue Clarendon 8','Kokrines',537109,'Argentina');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Clarendon 55','Blyn',342216,'Brazil');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Green Cowley 56','Warner',106500,'Thailand');
INSERT Address (Street, City, ZIP, Country) VALUES ('Old 93','Mount Victory',917484,'Andorra');
INSERT Address (Street, City, ZIP, Country) VALUES ('South New 68','Bartonville',214503,'South Sudan');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Clarendon 60','Austin',312667,'Norway');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 83','Waupun',906476,'Lesotho');
INSERT Address (Street, City, ZIP, Country) VALUES ('South New 22','Manawa',422996,'Syria');
INSERT Address (Street, City, ZIP, Country) VALUES ('South New 84','Homer Glen',610585,'Liberia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Milton 73','Benge',669853,'Germany');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Milton 79','Liberty Grove',302657,'Bulgaria');
INSERT Address (Street, City, ZIP, Country) VALUES ('White Fabien 99','Cestos',258973,'Oman');
INSERT Address (Street, City, ZIP, Country) VALUES ('West White Second 6','Palos Hills',472586,'Haiti');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Fabien 1','Dinwiddie',195007,'Uganda');
INSERT Address (Street, City, ZIP, Country) VALUES ('South New 15','Hatch',155514,'Luxembourg');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green Milton 72','Ellzey',313667,'Tajikistan');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue Oak 45','Piney Park',283862,'Papua New Guinea');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Nobel 45','Purdum',949581,'Sudan');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Fabien 76','Normantown',471576,'Guinea');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Old 45','Panorama Village',213713,'Nauru');
INSERT Address (Street, City, ZIP, Country) VALUES ('Cowley 18','Gilbertown',970153,'Croatia');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Nobel 26','Waukomis',445693,'Azerbaijan');
INSERT Address (Street, City, ZIP, Country) VALUES ('Clarendon 65','Mountain Village',608917,'Mongolia');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Clarendon 29','Tylersville',781696,'Saint Vincent & the Grenadines');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Blue Oak 14','Half Moon',272977,'Trinidad & Tobago');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue Milton 41','Pinconning',967415,'Tuvalu');
INSERT Address (Street, City, ZIP, Country) VALUES ('Cowley 66','Celo',250443,'Nauru');
INSERT Address (Street, City, ZIP, Country) VALUES ('Second 56','Morgana',292401,'East Timor');
INSERT Address (Street, City, ZIP, Country) VALUES ('Fabien 77','Parkers',770768,'Equatorial Guinea');
INSERT Address (Street, City, ZIP, Country) VALUES ('Nobel 98','Peoria',183453,'Lithuania');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Milton 85','Chisana',168845,'Syria');
INSERT Address (Street, City, ZIP, Country) VALUES ('Oak 62','Troy Grove',978251,'Egypt');
INSERT Address (Street, City, ZIP, Country) VALUES ('West White First 78','Anneta',114414,'Seychelles');
INSERT Address (Street, City, ZIP, Country) VALUES ('White Old 78','Chappell',984771,'Grenada');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue Oak 50','Amiret',471163,'Taiwan');
INSERT Address (Street, City, ZIP, Country) VALUES ('Old 89','Mackeys',434443,'Zambia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Oak 15','Saint Maurice',434922,'St Lucia');
INSERT Address (Street, City, ZIP, Country) VALUES ('New 8','Spraberry',899223,'Peru');
INSERT Address (Street, City, ZIP, Country) VALUES ('Clarendon 57','Tenmile',950042,'Cape Verde');
INSERT Address (Street, City, ZIP, Country) VALUES ('Nobel 37','Axtell',705297,'Slovenia');
INSERT Address (Street, City, ZIP, Country) VALUES ('White First 5','Amsden',707881,'Madagascar');
INSERT Address (Street, City, ZIP, Country) VALUES ('New 8','Virginia',806696,'Zimbabwe');
INSERT Address (Street, City, ZIP, Country) VALUES ('Nobel 90','Samaria',369618,'Madagascar');
INSERT Address (Street, City, ZIP, Country) VALUES ('Fabien 43','Pleasant Hills',981349,'Malaysia');
INSERT Address (Street, City, ZIP, Country) VALUES ('White Clarendon 76','Holly Pond',137518,'Mauritius');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green Cowley 13','Shonkin',269073,'Jordan');
INSERT Address (Street, City, ZIP, Country) VALUES ('Old 40','Lakewood Shores',312560,'Togo');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Red Cowley 67','Montrose',614884,'Serbia');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Blue Nobel 50','Egegik',903913,'Iran');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Oak 86','Lublin',878352,'Ukraine');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue Milton 18','Deer River',441623,'St Kitts & Nevis');
INSERT Address (Street, City, ZIP, Country) VALUES ('Clarendon 84','Inkster',790375,'Swaziland');
INSERT Address (Street, City, ZIP, Country) VALUES ('Old 96','Worcester',468180,'Dominica');
INSERT Address (Street, City, ZIP, Country) VALUES ('Hague 37','Harper',197624,'Russian Federation');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue Old 34','Cresthaven',366560,'Qatar');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green Milton 65','Isle',698754,'Congo');
INSERT Address (Street, City, ZIP, Country) VALUES ('Old 35','Majenica',823803,'Philippines');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Milton 82','North Kensington',104727,'Kosovo');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Hague 44','McVille',453178,'Cape Verde');
INSERT Address (Street, City, ZIP, Country) VALUES ('Old 5','Rudy',218899,'Jordan');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Clarendon 94','Fleming',509133,'Iraq');
INSERT Address (Street, City, ZIP, Country) VALUES ('Nobel 13','Mogote',754476,'Iceland');
INSERT Address (Street, City, ZIP, Country) VALUES ('St White Second 48','Gulivoire Park',368792,'Bahamas');
INSERT Address (Street, City, ZIP, Country) VALUES ('Cowley 36','Powhatan',620718,'Morocco');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red New 66','Port Leyden',363412,'Denmark');
INSERT Address (Street, City, ZIP, Country) VALUES ('West White Milton 5','Netarts',511735,'Sweden');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Blue Second 4','Lochbuie',451543,'United States');
INSERT Address (Street, City, ZIP, Country) VALUES ('Cowley 32','Lilbert',856585,'Lebanon');
INSERT Address (Street, City, ZIP, Country) VALUES ('Second 60','Okauchee Lake',294223,'Niger');
INSERT Address (Street, City, ZIP, Country) VALUES ('Oak 94','Clarkedale',393765,'Sudan');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue Clarendon 50','Oaktown',443032,'Ukraine');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 9','Mount Olivet',322104,'Venezuela');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green Cowley 48','Elkader',245044,'Turkmenistan');
INSERT Address (Street, City, ZIP, Country) VALUES ('Clarendon 75','East Bangor',311663,'Ivory Coast');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Fabien 86','Smicksburg',838482,'Guatemala');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green New 29','Worthington',992566,'Chad');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 56','Altha',270696,'United Arab Emirates');
INSERT Address (Street, City, ZIP, Country) VALUES ('Hague 47','Aurora',955653,'Burundi');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 36','Everett',124936,'United Arab Emirates');
INSERT Address (Street, City, ZIP, Country) VALUES ('Old 17','Asbury Lake',453567,'Venezuela');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 35','West Canton',436556,'Jamaica');
INSERT Address (Street, City, ZIP, Country) VALUES ('Nobel 82','Dover',242852,'Kiribati');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 74','Jensen',676567,'Australia');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 38','Kragnes',778746,'Latvia');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Fabien 84','La Luz',471647,'Austria');
INSERT Address (Street, City, ZIP, Country) VALUES ('Milton 68','Middle Valley',759233,'Nepal');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Milton 59','Hunters Hollow',454023,'Bangladesh');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green Clarendon 9','Atolia',187146,'St Lucia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Oak 58','Arletta',163782,'Guyana');
